source,target,weight
and,that,9922.000000000000000
that,and,8806.000000000000000
for,and,8322.000000000000000
and,for,7729.000000000000000
with,and,6372.000000000000000
and,you,6006.000000000000000
and,are,5848.000000000000000
that,you,5423.000000000000000
are,and,5135.000000000000000
and,with,4926.000000000000000
you,that,4914.000000000000000
and,not,4856.000000000000000
this,and,4794.000000000000000
and,this,4782.000000000000000
you,and,4773.000000000000000
and,have,4752.000000000000000
have,and,4723.000000000000000
that,not,4678.000000000000000
that,are,4411.000000000000000
for,that,4255.000000000000000
you,have,4227.000000000000000
and,they,4053.000000000000000
that,for,3955.000000000000000
was,and,3865.000000000000000
that,have,3862.000000000000000
that,was,3827.000000000000000
not,that,3759.000000000000000
from,and,3545.000000000000000
and,was,3537.000000000000000
that,this,3483.000000000000000
you,are,3478.000000000000000
you,can,3472.000000000000000
have,that,3443.000000000000000
this,that,3440.000000000000000
that,they,3362.000000000000000
not,and,3298.000000000000000
and,from,3247.000000000000000
they,and,3206.000000000000000
are,that,3181.000000000000000
and,can,3169.000000000000000
for,you,3115.000000000000000
with,that,3091.000000000000000
and,all,3025.000000000000000
and,will,2973.000000000000000
but,that,2959.000000000000000
you,your,2946.000000000000000
that,with,2870.000000000000000
was,that,2857.000000000000000
all,and,2844.000000000000000
for,this,2796.000000000000000
that,can,2759.000000000000000
and,but,2759.000000000000000
can,and,2691.000000000000000
they,are,2651.000000000000000
are,you,2623.000000000000000
you,for,2557.000000000000000
have,for,2544.000000000000000
and,other,2521.000000000000000
and,there,2504.000000000000000
that,would,2502.000000000000000
there,are,2497.000000000000000
are,not,2480.000000000000000
this,for,2475.000000000000000
have,been,2459.000000000000000
but,and,2434.000000000000000
are,for,2409.000000000000000
that,will,2399.000000000000000
one,and,2380.000000000000000
and,what,2372.000000000000000
and,one,2368.000000000000000
will,and,2358.000000000000000
this,you,2344.000000000000000
what,you,2305.000000000000000
that,there,2268.000000000000000
about,and,2248.000000000000000
you,this,2240.000000000000000
that,but,2237.000000000000000
has,and,2215.000000000000000
your,you,2204.000000000000000
and,would,2196.000000000000000
have,you,2189.000000000000000
not,you,2159.000000000000000
not,but,2136.000000000000000
there,that,2132.000000000000000
but,not,2128.000000000000000
this,not,2125.000000000000000
not,for,2124.000000000000000
there,and,2108.000000000000000
you,not,2096.000000000000000
more,than,2092.000000000000000
they,that,2056.000000000000000
with,you,2047.000000000000000
with,for,2047.000000000000000
have,with,2041.000000000000000
and,has,1991.000000000000000
their,and,1983.000000000000000
they,have,1983.000000000000000
were,and,1973.000000000000000
and,their,1971.000000000000000
and,were,1969.000000000000000
from,that,1968.000000000000000
for,are,1966.000000000000000
for,with,1927.000000000000000
for,have,1925.000000000000000
that,has,1919.000000000000000
your,and,1904.000000000000000
you,with,1887.000000000000000
and,them,1884.000000000000000
that,all,1877.000000000000000
can,you,1865.000000000000000
for,not,1861.000000000000000
can,that,1860.000000000000000
have,this,1856.000000000000000
and,then,1852.000000000000000
out,and,1848.000000000000000
and,some,1846.000000000000000
what,and,1833.000000000000000
one,that,1819.000000000000000
has,been,1818.000000000000000
not,have,1805.000000000000000
all,that,1793.000000000000000
with,this,1792.000000000000000
not,this,1784.000000000000000
which,and,1781.000000000000000
that,one,1772.000000000000000
and,about,1770.000000000000000
that,from,1767.000000000000000
and,which,1761.000000000000000
would,have,1760.000000000000000
but,you,1754.000000000000000
for,but,1751.000000000000000
would,and,1730.000000000000000
does,not,1717.000000000000000
and,your,1717.000000000000000
and,also,1717.000000000000000
that,what,1695.000000000000000
and,more,1679.000000000000000
are,they,1673.000000000000000
some,and,1661.000000000000000
would,that,1650.000000000000000
and,out,1629.000000000000000
and,any,1616.000000000000000
think,that,1613.000000000000000
about,that,1600.000000000000000
was,for,1597.000000000000000
between,and,1593.000000000000000
people,and,1581.000000000000000
this,was,1577.000000000000000
and,who,1576.000000000000000
are,with,1563.000000000000000
they,were,1561.000000000000000
more,and,1557.000000000000000
who,and,1552.000000000000000
and,when,1546.000000000000000
and,his,1541.000000000000000
that,were,1540.000000000000000
this,have,1534.000000000000000
them,and,1534.000000000000000
had,and,1515.000000000000000
this,but,1512.000000000000000
what,that,1501.000000000000000
this,with,1495.000000000000000
his,and,1487.000000000000000
like,and,1486.000000000000000
you,don,1470.000000000000000
you,will,1470.000000000000000
have,not,1451.000000000000000
and,people,1450.000000000000000
been,and,1432.000000000000000
that,some,1431.000000000000000
but,for,1420.000000000000000
and,had,1419.000000000000000
you,get,1417.000000000000000
other,and,1414.000000000000000
was,not,1408.000000000000000
you,want,1406.000000000000000
are,this,1403.000000000000000
for,all,1402.000000000000000
you,know,1397.000000000000000
both,and,1392.000000000000000
can,for,1390.000000000000000
and,like,1389.000000000000000
that,had,1389.000000000000000
and,don,1384.000000000000000
and,get,1374.000000000000000
that,people,1368.000000000000000
know,that,1366.000000000000000
what,are,1350.000000000000000
use,and,1347.000000000000000
not,are,1347.000000000000000
not,with,1345.000000000000000
and,only,1343.000000000000000
and,use,1334.000000000000000
but,have,1329.000000000000000
some,that,1328.000000000000000
will,you,1325.000000000000000
have,but,1322.000000000000000
also,and,1320.000000000000000
will,that,1317.000000000000000
when,and,1310.000000000000000
this,are,1302.000000000000000
for,was,1297.000000000000000
there,for,1297.000000000000000
for,from,1295.000000000000000
that,your,1289.000000000000000
out,that,1285.000000000000000
and,just,1280.000000000000000
you,what,1279.000000000000000
they,not,1275.000000000000000
any,that,1265.000000000000000
and,how,1259.000000000000000
has,that,1257.000000000000000
for,they,1255.000000000000000
from,for,1248.000000000000000
just,and,1245.000000000000000
for,can,1243.000000000000000
with,have,1243.000000000000000
time,and,1233.000000000000000
all,are,1232.000000000000000
say,that,1229.000000000000000
get,and,1220.000000000000000
two,and,1220.000000000000000
into,and,1209.000000000000000
your,that,1196.000000000000000
for,one,1189.000000000000000
but,this,1188.000000000000000
and,these,1185.000000000000000
but,are,1183.000000000000000
will,for,1182.000000000000000
don,know,1177.000000000000000
are,have,1173.000000000000000
only,and,1166.000000000000000
that,only,1165.000000000000000
these,are,1161.000000000000000
any,and,1160.000000000000000
would,you,1158.000000000000000
that,about,1157.000000000000000
can,this,1154.000000000000000
