source,target,weight
and,that,0.000505750766024
that,and,0.000158842172823
for,and,0.000235013154452
and,for,0.000354418269126
with,and,0.000100488439784
and,you,0.000329034053721
and,are,0.000253689941019
that,you,0.000101802965219
are,and,0.000130387415993
and,with,0.000294924131595
you,that,0.000151110129082
and,not,0.000280319189187
this,and,0.000114294409286
and,this,0.000267803814495
you,and,0.000153392189532
and,have,0.000214527477510
have,and,0.000072950075264
that,not,0.000086730615294
that,are,0.000078491560998
for,that,0.000231516882195
you,have,0.000064097337599
and,they,0.000246969953878
that,for,0.000109656830318
was,and,0.000072398586781
that,have,0.000066374705057
that,was,0.000113481044536
not,that,0.000083829625510
from,and,0.000083387894847
and,was,0.000366778345779
that,this,0.000082858379756
you,are,0.000075798438047
you,can,0.000064188170654
have,that,0.000071864800702
this,that,0.000112594003440
that,they,0.000076412376075
not,and,0.000085095627583
and,from,0.000278532650555
they,and,0.000088049644546
are,that,0.000128447616589
and,can,0.000214831568883
for,you,0.000150621475768
with,that,0.000098993485153
and,all,0.000261822628090
and,will,0.000292669661576
but,that,0.000060046637373
you,your,0.000045773540478
that,with,0.000091249377874
was,that,0.000071321468567
all,and,0.000052920528105
for,this,0.000122592173284
that,can,0.000066468790465
and,but,0.000264408852672
can,and,0.000067247201514
they,are,0.000043509560783
are,you,0.000083566192188
you,for,0.000105894410808
have,for,0.000050361159083
and,other,0.000222413451411
and,there,0.000296816142509
that,would,0.000076959317084
there,are,0.000026041692763
are,not,0.000071193870099
this,for,0.000078903241956
have,been,0.000023898233849
but,and,0.000060953487264
are,for,0.000090013098088
that,will,0.000090551853646
one,and,0.000035891553125
and,what,0.000153813933139
and,one,0.000190462451428
will,and,0.000062893755967
this,you,0.000073252049333
what,you,0.000026237796192
that,there,0.000091834750492
about,and,0.000055918528233
you,this,0.000080015437561
that,but,0.000081807964307
has,and,0.000057528915931
your,you,0.000028408761864
and,would,0.000248737691436
have,you,0.000046754194045
not,you,0.000054538344557
not,but,0.000043826519686
there,that,0.000051916136727
but,not,0.000033281670767
this,not,0.000062406761572
not,for,0.000058745838032
there,and,0.000052700197557
you,not,0.000083754814113
more,than,0.000009526078429
they,that,0.000086739666585
with,you,0.000064403706347
with,for,0.000069372290454
have,with,0.000041907318518
and,has,0.000179205002496
their,and,0.000035026532714
they,have,0.000036792938772
were,and,0.000032114145142
and,their,0.000226738615311
and,were,0.000117920506455
from,that,0.000082147249486
for,are,0.000116131304821
for,with,0.000135006994242
for,have,0.000098203949165
that,has,0.000055445929320
your,and,0.000044325883209
you,with,0.000088118547865
and,them,0.000150397114339
that,all,0.000081007776316
can,you,0.000043099171307
for,not,0.000128321335069
can,that,0.000066246720962
have,this,0.000038053662138
and,then,0.000200110604055
out,and,0.000032497384382
and,some,0.000191175713553
what,and,0.000040938568418
one,that,0.000035357581510
has,been,0.000018846316379
not,have,0.000035558539821
all,that,0.000052133204008
with,this,0.000052418752603
not,this,0.000044389242248
which,and,0.000028121161449
that,one,0.000058928988437
and,about,0.000203333082027
that,from,0.000086177868070
and,which,0.000146681428305
would,have,0.000020049734303
but,you,0.000039065478632
for,but,0.000121038079669
would,and,0.000047981280659
does,not,0.000019036075173
and,your,0.000153199551278
and,also,0.000174119486474
that,what,0.000047589957830
and,more,0.000137910523335
are,they,0.000062724015152
some,and,0.000029709837690
would,that,0.000047267443733
and,out,0.000200697846594
and,any,0.000192210820387
think,that,0.000017857953935
about,that,0.000055086577049
was,for,0.000049980426411
between,and,0.000008503378922
people,and,0.000037919769966
this,was,0.000081654965470
and,who,0.000204955897061
are,with,0.000074903116911
they,were,0.000020224180844
more,and,0.000040418493882
who,and,0.000029790173357
and,when,0.000150444451720
and,his,0.000124122685520
that,were,0.000036484547309
this,have,0.000047759731387
them,and,0.000019538934794
had,and,0.000020484165361
this,but,0.000058864679886
what,that,0.000040329501644
this,with,0.000065658205131
his,and,0.000020725254217
like,and,0.000028184791518
you,don,0.000035594650399
you,will,0.000087444939709
have,not,0.000039832033508
and,people,0.000176938818186
been,and,0.000028072114219
that,some,0.000059149675508
but,for,0.000042079278501
and,had,0.000165952398675
you,get,0.000063669285737
other,and,0.000023001914087
was,not,0.000039530907088
you,want,0.000028375709007
are,this,0.000068015258876
for,all,0.000119854186778
you,know,0.000080041936599
both,and,0.000010334429135
can,for,0.000046424149332
and,like,0.000310273549985
that,had,0.000051345596148
and,don,0.000119131786050
and,get,0.000213094826904
that,people,0.000054744778026
know,that,0.000031037681765
what,are,0.000020229710572
use,and,0.000018241835278
not,are,0.000042049843614
not,with,0.000048884510761
and,only,0.000226390708121
and,use,0.000147267361172
but,have,0.000025470364562
some,that,0.000029267834179
will,you,0.000040309008909
have,but,0.000037571255234
also,and,0.000032305972127
will,that,0.000061958075094
when,and,0.000035245626350
this,are,0.000056478369515
for,was,0.000167899619555
there,for,0.000036381614336
for,from,0.000127503517433
that,your,0.000047399866162
out,that,0.000032013911550
and,just,0.000277033541352
you,what,0.000045957105613
they,not,0.000048076661187
any,that,0.000038101505197
and,how,0.000133028108394
has,that,0.000056673030485
for,they,0.000113055095426
from,for,0.000057566885516
just,and,0.000044437387260
for,can,0.000098343130958
with,have,0.000041990686441
time,and,0.000023742513804
all,are,0.000026150575650
say,that,0.000009242051419
get,and,0.000036610403185
two,and,0.000018603792341
into,and,0.000007871236448
your,that,0.000043666426791
for,one,0.000087187734607
but,this,0.000031795738323
and,these,0.000170020939549
but,are,0.000030120039810
will,for,0.000043418753194
don,know,0.000013548572497
are,have,0.000054484451539
only,and,0.000032110481698
that,only,0.000070045192842
these,are,0.000007411592378
any,and,0.000038676920667
would,you,0.000030751521990
that,about,0.000062911160057
can,this,0.000035078799556
they,for,0.000060785139794
with,are,0.000049656176998
with,but,0.000051754250308
can,with,0.000038631198549
was,with,0.000041590490582
that,any,0.000059469944972
this,will,0.000065156316850
from,you,0.000053443851357
also,that,0.000031825340557
when,you,0.000022589169021
this,can,0.000047827397793
like,that,0.000027765474442
you,about,0.000060752616264
new,and,0.000025358089260
that,more,0.000042669453251
these,and,0.000014998727238
don,have,0.000010849653336
from,this,0.000043498421292
with,not,0.000054868469306
you,but,0.000079001081758
that,don,0.000036859320971
but,they,0.000029322191040
how,you,0.000009539729945
have,they,0.000035093260522
than,and,0.000028366452170
about,this,0.000029169308618
that,when,0.000046547440434
not,they,0.000040935985453
for,will,0.000133975001518
for,any,0.000087988089945
have,any,0.000027312256861
people,that,0.000037355621316
you,from,0.000083221049863
would,for,0.000033123917092
all,you,0.000033917120163
that,could,0.000036852310586
they,you,0.000056431588746
that,their,0.000070152818807
one,for,0.000024777764338
you,would,0.000074318792031
this,from,0.000062009021349
don,that,0.000025578159693
only,that,0.000031632760511
and,been,0.000168184560607
this,has,0.000039895970986
for,your,0.000070129950473
would,not,0.000026198622436
will,not,0.000034341090213
there,was,0.000037650410377
are,but,0.000067153014243
has,for,0.000039715148887
what,they,0.000019693849026
that,been,0.000052036222769
just,that,0.000043776271923
have,are,0.000036048142647
you,all,0.000078228360508
and,into,0.000097647593066
said,that,0.000009782163943
that,just,0.000085714062152
those,who,0.000002686691005
and,even,0.000174164160853
what,for,0.000028261974876
people,who,0.000015138397430
believe,that,0.000008954046280
you,think,0.000029696830097
but,was,0.000043546773668
system,and,0.000012494850125
can,get,0.000027912639780
for,would,0.000113864276500
and,should,0.000114941045467
then,and,0.000052699371736
for,there,0.000135873124236
don,you,0.000016640786271
who,are,0.000014720753825
this,would,0.000055375840020
our,and,0.000017748872779
this,one,0.000042402174586
not,any,0.000031859493902
